date,content,hashtags,language,coordinates,place,_hit_sos,_hit_phone,_hit_coord,_hit_addr,_hit_locw,_first_person
2023-02-20 20:00:33+00:00,Just devastating! Another earthquake in #Turkey &amp; #Syria. My thoughts &amp; prayers to those impacted by these devastating events. Please help these people by donating.   #turkeyearthquake2023  #TurkeySyria #earthquake   https://t.co/oWw1yKz3s5  https://t.co/O6Ib6Dpn0t https://t.co/tPzY2XlSHC,"['Turkey', 'Syria', 'turkeyearthquake2023', 'TurkeySyria', 'earthquake']",en,"Coordinates(longitude=-83.800262, latitude=42.215087)","Place(fullName='Ann Arbor, MI', name='Ann Arbor', type='city', country='United States', countryCode='US')",True,False,True,False,False,False
2023-02-15 18:18:42+00:00,"""It's too late, people died. The survivors have absolutely nothing, they need help. The borders are open now but no aid is coming in."" @celinekasem  #Syria #earthquake #زلزال_تركيا_سوريا https://t.co/LX0bZKsCvF","['Syria', 'earthquake', 'زلزال_تركيا_سوريا']",en,,,True,False,False,True,False,False
2023-02-15 11:15:25+00:00,"Our teams are working on the ground in Syria &amp; Turkey, helping earthquake victims day &amp; night  Donate now, help us make a bigger difference https://t.co/MWUOYvtp87 03003020786  #sktwelfare #earthquake #syria #turkey #syriaearthquake #turkeyearthquake #prayforturkey #prayforsyria https://t.co/X99DmEuFly","['sktwelfare', 'earthquake', 'syria', 'turkey', 'syriaearthquake', 'turkeyearthquake', 'prayforturkey', 'prayforsyria']",en,,,True,True,False,False,False,False
2023-02-14 05:24:30+00:00,Syrians Need help too. @RT_com @BBCBreaking. @XHNews @arabnews #syria #earthquake #syriaearthquake https://t.co/GDTw6N2qHw,"['syria', 'earthquake', 'syriaearthquake']",en,"Coordinates(longitude=69.328873, latitude=27.708226)","Place(fullName='Punjab, Pakistan', name='Punjab', type='admin', country='Pakistan', countryCode='PK')",True,False,True,False,False,False
2023-02-13 20:00:20+00:00,The situation in #Syria before the #earthquake hit on Monday was already described from my colleagues there as hell.   Syrians need us now more than ever.  Help us and #HelpSyria🙏🏽 👇🏽 https://t.co/l0giUxjzay  #SyriaNeedsYou https://t.co/38gKuYUhEn,"['Syria', 'earthquake', 'HelpSyria', 'SyriaNeedsYou']",en,"Coordinates(longitude=35.0757711, latitude=33.054742)","Place(fullName='Lebanon', name='Lebanon', type='country', country='Lebanon', countryCode='LB')",True,False,True,False,False,False
2023-02-13 04:56:33+00:00,"#Earthquake in #Turkey &amp; #Syria speak of nature's own mind &amp; will. Infants alive after days under the rubble,Pets outside the wreck holding their dear ones stuck inside,toddler-siblings cuddling &amp; breathing amidst the ruins &amp; many more For now, grateful for such mercies 🙏","['Earthquake', 'Turkey', 'Syria']",en,"Coordinates(longitude=79.599774, latitude=11.774197)","Place(fullName='Pondicherry, India', name='Pondicherry', type='city', country='India', countryCode='IN')",True,False,True,False,False,False
2023-02-13 04:30:56+00:00,A man trapped under earthquake rubble for more than 100 hours in Turkey recited the longest chapter of the Quran as rescuers worked to free him ⤵️ #Turkey #TurkeySyriaEarthquake #Quran #AlJazeera #earthquake @trpresidency https://t.co/48raMaPVfs,"['Turkey', 'TurkeySyriaEarthquake', 'Quran', 'AlJazeera', 'earthquake']",en,"Coordinates(longitude=79.6505263, latitude=5.9213829)","Place(fullName='Sri Lanka', name='Sri Lanka', type='country', country='Sri Lanka', countryCode='LK')",True,False,True,False,False,False
2023-02-12 22:50:18+00:00,"Değerli Dostlarım;  Enkaz altında kalan #Depremzede lere; Dili, dini, ırkı, partisi, kulübü vs. sorulmaz!  Onlara, tek bir soru sorulur! * Sesimi duyan var mı?  Aynı bu soru gibi; tarafsız, eşit, bir ve beraber olmak zorundayız.   Yoksa hiç bir şey düzelmez 🇹🇷😔 #Deprem #Turkey","['Depremzede', 'Deprem', 'Turkey']",tr,"Coordinates(longitude=28.6321043, latitude=40.8027337)","Place(fullName='İstanbul, Türkiye', name='İstanbul', type='city', country='Turkey', countryCode='TR')",True,False,True,False,False,False
2023-02-12 20:58:20+00:00,"Aslan Dinç 2,5 yaşında sesleri geliyor acil TEYİTLİ Atatürk mahallesi. Naci Topçuoğlu CAD. Ayşe Mehmet Polat Polat sitesi  A2 blok kat 2 şehit Kamil Gaziantep  #AslanDinc #Earthquake #Gaziantep @AFADTurkiye @ahbap @AKUTASSOCIATION","['AslanDinc', 'Earthquake', 'Gaziantep']",tr,,,True,False,False,True,False,False
2023-02-12 20:51:07+00:00,"Miracles do happen!  A 7 month old pulled alive from rubble in Turkey after spending 139 hours… that’s 139 HOURS, trapped after a 7.8 magnitude earthquake hit the country.  #Turkey   https://t.co/phUa05XV71",['Turkey'],en,"Coordinates(longitude=-0.457966, latitude=51.420633)","Place(fullName='Hounslow, London', name='Hounslow', type='city', country='United Kingdom', countryCode='GB')",True,False,True,False,False,False
2023-02-12 19:54:17+00:00,"Kurdish children ask for help.  No it's not a toy!!  They need basic vital necessities such as tents, blankets and heaters for shelter.  Please hear their voices.  They need help. #earthquake  #Kurdistan #Afrin #Rojava #children @WHO @WHO_Europe @euronews @Herzl_sorchi https://t.co/wt9099PgFF","['earthquake', 'Kurdistan', 'Afrin', 'Rojava', 'children']",en,,,True,False,False,True,False,False
2023-02-12 19:30:16+00:00,"Adıyaman için acil çadır ihtiyacı vardır, insanlar çok zor durumda. Acil destek bekliyoruz.  Adres : Adıyaman Hisar düğün salonu  irtibat : Nurgül Evrensel   +90 (545) 828 04 34 #Babala #earthquake #acildeprem #tahaduymaz #SonDakika #CadırİhtiyacıVar","['Babala', 'earthquake', 'acildeprem', 'tahaduymaz', 'SonDakika', 'CadırİhtiyacıVar']",tr,,,True,False,False,False,True,False
2023-02-12 18:39:07+00:00,12.02.2023 21.20 Acil su ve gıda ihtiyacı olan bir Aile ( 9 bireye sahip ) Kiltepe Mahallesi setrek sokak no 19 Yeşilyurt / Malatya İlhan Taş 0543 454 29 89 #survivor2023 #okullaracilsin #Babala #akaworldwide #earthquake #Survivor #t5m2 #Ukraine️ #depremzede #AFAD #adiyamandepre,"['survivor2023', 'okullaracilsin', 'Babala', 'akaworldwide', 'earthquake', 'Survivor', 't5m2', 'Ukraine️', 'depremzede', 'AFAD', 'adiyamandepre']",tr,,,True,False,True,True,False,False
2023-02-12 16:18:28+00:00,"Ölenlere Allah'tan rahmet, yaralılara acil şifalar, yakınlarını kaybedenlere başsağlığı diliyorum. Bir damla su miktarınca yardımda bulunan herkesten de Allah razı olsun. #DEPREMOLDU #earthquake #gecmisolsunturkiyem https://t.co/iCc4Kk7nw7","['DEPREMOLDU', 'earthquake', 'gecmisolsunturkiyem']",tr,"Coordinates(longitude=38.4147866, latitude=36.7243116)","Place(fullName='Şanlıurfa Merkez, Şanlıurfa', name='Şanlıurfa Merkez', type='admin', country='Turkey', countryCode='TR')",True,False,True,False,False,False
2023-02-12 15:29:29+00:00,Rescue teams from 72 countries are helping to overcome this disaster. More countries are expected to send rescue teams to Türkiye 🇹🇷 #earthquake #earthquakeinturkey #earthquakes #HelpTurkey,"['earthquake', 'earthquakeinturkey', 'earthquakes', 'HelpTurkey']",en,"Coordinates(longitude=24.499764, latitude=60.00307)","Place(fullName='Espoo, Suomi', name='Espoo', type='city', country='Finland', countryCode='FI')",True,False,True,False,False,False
2023-02-12 14:23:07+00:00,Hundreds and thousands of buildings is still not touched and no rescue operations in place in Antakya. People are left to die under rubble by incompetent state. #earthquaketurkey   #earthquake #Turkey   https://t.co/wYTbPXOAy5,"['earthquaketurkey', 'earthquake', 'Turkey']",en,,,True,False,False,True,False,False
2023-02-12 14:09:17+00:00,"We are at Refugees 5K, Supporting @IRISCT and its mission.  Runners are checking in, 🏃‍♀️  We setup our table and ready. RUN FOR REFUGEES! ALSO, Please help #earthquake #earthquaketurkey victims, LINK BELOW:  https://t.co/VpA9sqWjTe #RunForRefugees #runforrefugees #RefugeesWelcome https://t.co/zgy8UQfqmp","['earthquake', 'earthquaketurkey', 'RunForRefugees', 'runforrefugees', 'RefugeesWelcome']",en,"Coordinates(longitude=-72.998069, latitude=41.246404)","Place(fullName='New Haven, CT', name='New Haven', type='city', country='United States', countryCode='US')",True,False,True,False,False,True
2023-02-12 13:15:25+00:00,"Kurdish children ask for help.  No it's not a toy!!  They need basic vital necessities such as tents, blankets and heaters for shelter.  Please hear their voices.  They need help. #earthquake  #Kurdistan #Afrin #Rojava #children @WHO @WHO_Europe @euronews @Herzl_sorchi https://t.co/haB4iKzb9G","['earthquake', 'Kurdistan', 'Afrin', 'Rojava', 'children']",en,,,True,False,False,True,False,False
2023-02-12 12:59:29+00:00,Acil destek lazım... #deprem #erzak #kahramamaras  #earthquake  @AFADBaskanlik @AFAD_Ankara  @DepremDairesi @Kizilay https://t.co/oJlvkDcPGe,"['deprem', 'erzak', 'kahramamaras', 'earthquake']",tr,"Coordinates(longitude=32.7382989, latitude=39.8401957)","Place(fullName='Ankara, Türkiye', name='Ankara', type='city', country='Turkey', countryCode='TR')",True,False,True,False,False,False
