id,event,source,text,lang,lang_conf,class_label,_sos,_flood,_need,_haz
511437451899191297,2014_mexico_hurricane-odile,crisisnlp-cf,"RT @NWSElPaso: Hey Borderland, prep for #RAIN this week!  Hurricane Odile will help us get real wet. Psbl flooding too. #nmwx #txwx http://â€¦",en,,not_humanitarian,True,False,False,True
8237,disaster_events,drd-figureeight-multimedia,"I don't have a tent,there are so much moutisquo.I am contaminate by the moustiquo.If, i don't find a solution, i go to have malaria.Please help me and i congratulate you.",en,1.0,requests_or_needs,True,False,False,False
508334547813924864,2014_pakistan_floods,crisisnlp-cf,RT @falguneome: Sonia's pimp ARNOB @thenewshour @timesnow where is u r Sonia and Rahul today? when we need help in Kashmir Flood? Karnatakaâ€¦,en,0.8687318563461304,donation_and_volunteering,True,False,False,True
508332173532073985,2014_pakistan_floods,crisisnlp-cf,RT @Joydas: Please use Kashmir Flood hashtag only if u need help or offering help so that agencies can track. Keep it free from ur politicaâ€¦,en,1.0,donation_and_volunteering,True,False,False,True
382832850825150464,2013_pakistan_earthquake,crisisnlp-cf,"RT @BalochTawar: Please Help the #EarthQuake Victims directly, Instead of #Pakistani #Army or Government",en,1.0,donation_and_volunteering,True,False,False,True
232879728632143872,2012_philipinnes_floods,crisislext26,"need help asap w/ 3 days old baby Unit 1 Pine Cluster St., Pineville Subd. Lawa Meycauayan Bulacan. 09166049812 #RescuePH @rescue5ph",en,0.9485040903091432,affected_individual,True,False,False,False
566,disaster_events,drd-figureeight-multimedia,"student group from Port-au-Prince, they have arrived in port-de-Paix, they did not save anything, they lost everything they need help, we are counting on us.",en,1.0,requests_or_needs,True,False,False,False
4658,disaster_events,drd-figureeight-multimedia,"We are in Leogan. We can't find any aid that was distributed. Please we in Leogan need help, especially outside of the city on rue Darboun.",en,1.0,requests_or_needs,True,False,False,False
3864,disaster_events,drd-figureeight-multimedia,"We are is desperate need of food, water and shelter. We have the will to struggle but we do not have the means. Please help!",en,1.0,requests_or_needs,True,False,True,False
5266,disaster_events,drd-figureeight-multimedia,"I am a victim. I left rane on the 13th. Now I am in a friend's house with 4 others. How can you help us, please?",en,1.0,requests_or_needs,True,False,False,False
910187928437051392,hurricane_irma,crisismmd,IRMA RECOVERY ‚Äì Need help? Contact @fema @ 1-800-621-3362 or visit https://t.co/kxDCSCTdfr https://t.co/7E39B1wdLn,en,,donation_and_volunteering,True,False,False,False
2932,disaster_events,drd-figureeight-multimedia,We are homeless. We live in Carrefour Feuilles. We need help.,en,1.0,requests_or_needs,True,False,False,False
9099,disaster_events,drd-figureeight-multimedia,Tell us i'm listening this message in the radio station and i write you. please i need help! i'm waitting for your answer.,en,1.0,requests_or_needs,True,False,False,False
296815145055834112,2013_queensland_floods-ontopic,crisislext6,"My mate Ben Roper has been missing since 26 Jan,   Please help us find him x http://t.co/8AZMM8Um http://t.co/9SMC9dCh",en,1.0,not_humanitarian,True,False,False,False
